genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Vegfa,2.9503749214249225e-8,1.2933767863932863,0.082,0.035,4.681654925317067e-4,IL6,p129,1,unique
Mindy2,3.0769018782606445e-8,-0.6055967779732223,0.191,0.288,4.882427900423991e-4,IL6,p129,1,unique
Cntrl,3.2030404127505384e-8,-0.26785019869335447,0.762,0.802,5.082584526952553e-4,IL6,p129,3,moderate (1-5)
Hdac1,3.3056237799131356e-8,-0.19398775039642355,0.883,0.926,5.245363813966164e-4,IL6,p129,1,unique
Cdca2,3.34575679856828e-8,-0.42027782679778847,0.411,0.509,5.309046887968147e-4,IL6,p129,1,unique
Clcn5,3.3508766226982335e-8,1.007317185980118,0.133,0.079,5.317171024897556e-4,IL6,p129,1,unique
Ccnb1,3.3827951689226075e-8,-0.4141699717232369,0.474,0.543,5.367819374046393e-4,IL6,p129,4,moderate (1-5)
A930024E05Rik,3.4381449263834944e-8,-0.93575678433418,0.099,0.172,5.455648369185329e-4,IL6,p129,1,unique
Tmem248,3.478499763917701e-8,0.3430803215562276,0.63,0.556,5.519683425384608e-4,IL6,p129,1,unique
D17H6S56E-5,3.752221191683995e-8,-0.23807392643117145,0.793,0.86,5.954024586964163e-4,IL6,p129,2,moderate (1-5)
Il18r1,3.8710073451194434e-8,1.5222301930480082,0.056,0.019,6.142514455235532e-4,IL6,p129,1,unique
Nrip1,4.0827900379704166e-8,-0.42814320428516706,0.484,0.574,6.478571232251456e-4,IL6,p129,2,moderate (1-5)
Mrps18a,4.312170039217571e-8,0.2532489444126579,0.811,0.759,6.842551418230442e-4,IL6,p129,1,unique
Utp4,4.4360237035913946e-8,0.24162739713232684,0.804,0.756,7.039082412858824e-4,IL6,p129,1,unique
D16Ertd472e,4.5771502298430514e-8,0.3884204088228067,0.541,0.47,7.263021984714954e-4,IL6,p129,1,unique
Cdkn1a,4.609636875524423e-8,0.3688525212370517,0.712,0.651,7.314571794082154e-4,IL6,p129,3,moderate (1-5)
Ppp2ca,4.7527383060840126e-8,0.20517762967056696,0.917,0.888,7.541645144094111e-4,IL6,p129,1,unique
Trnt1,4.9341370717059186e-8,0.2393227619749231,0.809,0.758,7.829488705382951e-4,IL6,p129,1,unique
Ap3b1,4.950553028154159e-8,-0.3448061813850142,0.609,0.69,7.85553754507502e-4,IL6,p129,1,unique
Hpf1,5.0050656414108914e-8,-0.22483408973038244,0.85,0.895,7.942038159790801e-4,IL6,p129,1,unique
Prr13,5.0524562744900246e-8,-0.31363149206505636,0.499,0.609,8.017237616360771e-4,IL6,p129,1,unique
Epop,5.1202983264480476e-8,0.5950867578112198,0.311,0.233,8.12488938440776e-4,IL6,p129,1,unique
Polr2f,5.197283999564345e-8,0.17644405137140318,0.961,0.946,8.247050250508701e-4,IL6,p129,1,unique
Dnaja2,5.2018212589477556e-8,0.1869120048388122,0.936,0.914,8.254249973698298e-4,IL6,p129,1,unique
Rab5if,5.2103492246147687e-8,0.20542881403556937,0.881,0.851,8.267782149618715e-4,IL6,p129,1,unique
Plekhj1,5.220193395199322e-8,0.20955706954151143,0.86,0.843,8.283402879502284e-4,IL6,p129,1,unique
Alcam,5.252538400414263e-8,0.602850244890583,0.374,0.331,8.334727933777353e-4,IL6,p129,7,high (5-10)
Mydgf,5.3425358820717e-8,0.2620006358084017,0.816,0.764,8.477535937671374e-4,IL6,p129,1,unique
Dok1,5.4111233065609464e-8,0.67892171809451,0.236,0.155,8.58637046285091e-4,IL6,p129,1,unique
Hdac4,5.4766920789677796e-8,0.5072667808238331,0.353,0.265,8.690414990906071e-4,IL6,p129,1,unique
Rasa1,5.511741151173767e-8,-0.47080687097701945,0.383,0.486,8.746030858682532e-4,IL6,p129,1,unique
Eif4g1,5.521407171552253e-8,0.15165317773424047,0.972,0.967,8.761368899819115e-4,IL6,p129,1,unique
Mrps26,5.614455036753712e-8,0.26865755050643,0.816,0.757,8.909017252320789e-4,IL6,p129,1,unique
Itgal,5.64663583427536e-8,-0.31240378981568545,0.603,0.698,8.960081741828141e-4,IL6,p129,2,moderate (1-5)
Cd72,5.665603439699987e-8,-1.6671895329804851,0.023,0.068,8.990179538115938e-4,IL6,p129,1,unique
Dnajc9,5.6813312809420715e-8,-0.2155226341402315,0.884,0.919,9.015136476598878e-4,IL6,p129,1,unique
Tgfbr2,5.7461665573091095e-8,-0.4993204019313193,0.323,0.42,9.118017093138094e-4,IL6,p129,1,unique
Cbx4,5.7486947267594335e-8,-0.6876803038861197,0.178,0.268,9.122028792421868e-4,IL6,p129,1,unique
Myh10,5.9532590367397705e-8,-1.138877811396935,0.073,0.135,9.446631439498668e-4,IL6,p129,1,unique
Esco2,6.071905726883302e-8,-0.3618767492983682,0.543,0.644,9.634900007418424e-4,IL6,p129,1,unique
Pla2g4f,6.310986506284937e-8,-1.3751570020401562,0.022,0.068,0.00100142733881729,IL6,p129,3,moderate (1-5)
Clptm1l,6.349732484485942e-8,0.29679681297635246,0.735,0.668,0.00100757555063822,IL6,p129,1,unique
Bbs12,6.478510849967126e-8,0.8395308115096025,0.163,0.099,0.00102801010167278,IL6,p129,1,unique
Kif15,6.539494589202138e-8,-0.24884795138459004,0.759,0.82,0.00103768700141459,IL6,p129,2,moderate (1-5)
Phf11b,6.720406534241485e-8,-1.1071991040242284,0.073,0.137,0.00106639410885343,IL6,p129,4,moderate (1-5)
Cd47,6.809482151279826e-8,0.18723235445378128,0.866,0.877,0.00108052862776508,IL6,p129,4,moderate (1-5)
Plagl2,6.97103572614362e-8,0.34523383774536764,0.612,0.557,0.00110616394902446,IL6,p129,4,moderate (1-5)
Bcl2a1d,7.553078092824988e-8,-0.6814067127461843,0.145,0.231,0.00119852243176946,IL6,p129,1,unique
Tmem41a,8.451099981011871e-8,0.5328724921783516,0.345,0.262,0.00134102054498696,IL6,p129,1,unique
Ripk1,8.559271081409891e-8,0.44372968258214174,0.41,0.324,0.00135818513519812,IL6,p129,1,unique
Nop2,8.595918610000948e-8,0.26993843658564065,0.747,0.71,0.00136400036503495,IL6,p129,1,unique
Cdc34,8.758331311702388e-8,0.2162152914003612,0.85,0.822,0.00138977201254093,IL6,p129,1,unique
Adsl,8.798789377621006e-8,0.21565982189401345,0.884,0.863,0.0013961918984409,IL6,p129,1,unique
H2ac4,8.908544740292584e-8,-0.29126761452450955,0.562,0.652,0.00141360787938962,IL6,p129,4,moderate (1-5)
Bin2,9.008774734523909e-8,-0.3556756729800821,0.556,0.641,0.00142951237487425,IL6,p129,1,unique
Aurkb,9.01963225276233e-8,-0.32095693715564677,0.613,0.682,0.00143123524586832,IL6,p129,3,moderate (1-5)
Hook2,9.11680805726932e-8,0.9108764476137344,0.15,0.086,0.00144665510252749,IL6,p129,1,unique
Pkp4,9.23346250285483e-8,-0.4286876863016786,0.418,0.491,0.001465165829953,IL6,p129,1,unique
Tnfrsf1b,9.461176236594741e-8,-0.6246399225076291,0.184,0.273,0.00150129944522285,IL6,p129,1,unique
Thumpd1,9.553081255330745e-8,0.2805073913938938,0.78,0.709,0.00151588293359588,IL6,p129,1,unique
Map3k14,9.569289222232112e-8,0.6036699174191433,0.268,0.19,0.00151845481378379,IL6,p129,1,unique
